image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.150996,0.017110,0.037679,0.012738,0.740560,0.011298,0.015305,0.014313
img_00007.jpg,0.185261,0.204391,0.043555,0.076449,0.052874,0.105653,0.017046,0.314771
img_00009.jpg,0.853668,0.065134,0.013482,0.019466,0.009742,0.010942,0.017165,0.010399
img_00018.jpg,0.551695,0.151504,0.033841,0.019951,0.042176,0.033261,0.013706,0.153865
img_00027.jpg,0.524134,0.032419,0.030167,0.013731,0.097012,0.022553,0.015798,0.264187
img_00030.jpg,0.847090,0.011873,0.016105,0.011207,0.046394,0.017693,0.021229,0.028411
img_00040.jpg,0.056041,0.019187,0.015953,0.018942,0.030408,0.220446,0.599045,0.039979
img_00046.jpg,0.885686,0.016171,0.014938,0.014725,0.034283,0.007209,0.018344,0.008644
img_00053.jpg,0.843863,0.035450,0.017049,0.019821,0.032544,0.010513,0.016977,0.023782
img_00071.jpg,0.083390,0.035629,0.010220,0.691300,0.028740,0.105045,0.011009,0.034667
img_00075.jpg,0.716963,0.038750,0.021642,0.016816,0.015859,0.154496,0.022081,0.013393
img_00102.jpg,0.209026,0.194756,0.022881,0.028966,0.036239,0.066284,0.184171,0.257677
img_00103.jpg,0.857047,0.036710,0.014552,0.009507,0.024956,0.026844,0.009298,0.021086
img_00109.jpg,0.857233,0.035966,0.027323,0.013476,0.018681,0.010053,0.022151,0.015118
img_00119.jpg,0.145728,0.063437,0.064795,0.037440,0.158480,0.048993,0.043705,0.437421
img_00120.jpg,0.596719,0.038386,0.020501,0.014689,0.042254,0.020712,0.045072,0.221667
img_00125.jpg,0.583682,0.082236,0.021302,0.080649,0.019093,0.122976,0.017965,0.072098
img_00128.jpg,0.002498,0.171974,0.406074,0.014667,0.014097,0.021627,0.014620,0.354443
img_00129.jpg,0.035266,0.023340,0.014891,0.018983,0.028196,0.263148,0.546300,0.069876
img_00133.jpg,0.322993,0.022218,0.021885,0.025450,0.500437,0.013887,0.018758,0.074373
img_00138.jpg,0.728402,0.019531,0.039035,0.013837,0.120385,0.026614,0.012459,0.039738
img_00141.jpg,0.000584,0.039651,0.029329,0.009383,0.010977,0.006030,0.008556,0.895488
img_00152.jpg,0.014950,0.013601,0.007700,0.008161,0.012137,0.023424,0.034847,0.885179
img_00161.jpg,0.113146,0.026204,0.037069,0.016348,0.086584,0.061988,0.029623,0.629038
img_00164.jpg,0.070100,0.031310,0.067006,0.017283,0.514179,0.038779,0.024674,0.236669
img_00170.jpg,0.614019,0.007905,0.012117,0.037825,0.017775,0.263825,0.014274,0.032259
img_00171.jpg,0.271968,0.016361,0.014198,0.020496,0.015331,0.637281,0.011661,0.012704
