image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.004067,0.000019,0.000336,0.001132,0.993402,0.000049,0.000945,0.000049
img_00007.jpg,0.034352,0.105489,0.015866,0.023746,0.000134,0.007789,0.012069,0.800556
img_00009.jpg,0.894335,0.074019,0.001565,0.001575,0.001000,0.020619,0.000694,0.006192
img_00018.jpg,0.789318,0.016682,0.006658,0.005833,0.001686,0.175110,0.001467,0.003246
img_00027.jpg,0.238083,0.039025,0.015962,0.004360,0.010080,0.258054,0.002781,0.431655
img_00030.jpg,0.274339,0.007488,0.008439,0.019601,0.592547,0.005151,0.054454,0.037980
img_00040.jpg,0.056101,0.040882,0.004139,0.018099,0.010917,0.432759,0.391012,0.046090
img_00046.jpg,0.742468,0.002532,0.004106,0.001131,0.243083,0.000782,0.001702,0.004195
img_00053.jpg,0.922607,0.003980,0.037495,0.007500,0.008896,0.005725,0.005618,0.008178
img_00071.jpg,0.039935,0.003312,0.002367,0.838709,0.025869,0.056451,0.014841,0.018515
img_00075.jpg,0.414294,0.044254,0.013634,0.004125,0.012982,0.503420,0.004934,0.002357
img_00102.jpg,0.198050,0.161810,0.006806,0.014558,0.001930,0.124931,0.006876,0.485039
img_00103.jpg,0.943801,0.005465,0.001971,0.006152,0.001271,0.023929,0.001127,0.016285
img_00109.jpg,0.878177,0.000180,0.003114,0.000759,0.114191,0.000188,0.001916,0.001474
img_00119.jpg,0.014567,0.040316,0.004525,0.020024,0.622160,0.007686,0.003202,0.287520
img_00120.jpg,0.155717,0.016597,0.004773,0.002254,0.000994,0.002609,0.049021,0.768036
img_00125.jpg,0.402333,0.141843,0.085124,0.016700,0.000324,0.117877,0.033401,0.202399
img_00128.jpg,0.000911,0.075249,0.636492,0.000989,0.003025,0.006577,0.001689,0.275068
img_00129.jpg,0.104350,0.037805,0.003296,0.022427,0.009146,0.508919,0.229092,0.084966
img_00133.jpg,0.047264,0.004619,0.002776,0.006970,0.915568,0.018894,0.002232,0.001677
img_00138.jpg,0.587526,0.077397,0.059264,0.023042,0.177132,0.017231,0.010304,0.048104
img_00141.jpg,0.000000,0.000096,0.000965,0.000041,0.000006,0.000001,0.000015,0.998875
img_00152.jpg,0.000159,0.001105,0.001323,0.001361,0.001532,0.004907,0.002566,0.987047
img_00161.jpg,0.000421,0.000787,0.001258,0.000368,0.000066,0.010071,0.000887,0.986141
img_00164.jpg,0.014242,0.005069,0.013031,0.003044,0.905528,0.008944,0.020173,0.029971
img_00170.jpg,0.534762,0.014703,0.014350,0.218310,0.019748,0.159079,0.005040,0.034009
img_00171.jpg,0.433749,0.006971,0.007499,0.037087,0.005768,0.504534,0.003089,0.001303
img_00172.jpg,0.007006,0.000025,0.000311,0.000527,0.991852,0.000061,0.000139,0.000079
img_00175.jpg,0.537997,0.009850,0.003300,0.020234,0.003895,0.421950,0.002215,0.000557
img_00180.jpg,0.053946,0.000720,0.009912,0.005359,0.150575,0.002277,0.013715,0.763496
img_00196.jpg,0.051040,0.054081,0.005211,0.028531,0.725394,0.027002,0.003600,0.105141
img_00212.jpg,0.018401,0.000773,0.000829,0.002089,0.000285,0.002638,0.000277,0.974708
img_00223.jpg,0.542608,0.012968,0.264302,0.008747,0.004936,0.153455,0.004531,0.008454
img_00230.jpg,0.935075,0.047553,0.004595,0.002131,0.000231,0.008420,0.000534,0.001461
img_00232.jpg,0.000852,0.064106,0.001840,0.000859,0.001449,0.000679,0.911031,0.019185
img_00244.jpg,0.416297,0.193960,0.009733,0.016485,0.003188,0.024118,0.013782,0.322437
img_00272.jpg,0.446138,0.175227,0.180645,0.082050,0.002432,0.068305,0.005902,0.039303
img_00280.jpg,0.264841,0.002208,0.001722,0.004081,0.717581,0.001917,0.004602,0.003048
img_00282.jpg,0.468223,0.010820,0.007252,0.045050,0.008586,0.454919,0.004218,0.000933
img_00285.jpg,0.926927,0.008704,0.003067,0.002029,0.003310,0.011885,0.011276,0.032802
img_00289.jpg,0.868255,0.001286,0.000494,0.001407,0.125448,0.002106,0.000681,0.000322
img_00292.jpg,0.324078,0.076690,0.005014,0.006077,0.025604,0.061212,0.021784,0.479542
img_00302.jpg,0.056971,0.036179,0.003721,0.017122,0.010324,0.343743,0.495972,0.035968
img_00311.jpg,0.998260,0.000562,0.000031,0.000059,0.000616,0.000037,0.000019,0.000416
img_00320.jpg,0.963422,0.007991,0.005738,0.002619,0.006179,0.006337,0.007368,0.000348
img_00331.jpg,0.248034,0.002834,0.002731,0.002584,0.031878,0.516935,0.011337,0.183669
img_00358.jpg,0.430656,0.054213,0.000879,0.014221,0.000928,0.323591,0.010114,0.165399
img_00374.jpg,0.405329,0.135944,0.024599,0.006147,0.001799,0.047121,0.004284,0.374777
img_00375.jpg,0.172639,0.061840,0.168347,0.072982,0.136008,0.370440,0.010667,0.007076
img_00376.jpg,0.676258,0.003303,0.028598,0.003790,0.102228,0.036082,0.035622,0.114120
img_00380.jpg,0.924577,0.004976,0.017489,0.005233,0.031192,0.013452,0.002285,0.000795
img_00383.jpg,0.984218,0.001975,0.000338,0.000197,0.009074,0.000721,0.000264,0.003213
img_00398.jpg,0.605750,0.003485,0.003206,0.004274,0.172341,0.006472,0.088057,0.116415
img_00407.jpg,0.909096,0.009987,0.004412,0.021839,0.002713,0.049430,0.000899,0.001623
img_00417.jpg,0.029812,0.000463,0.001554,0.005892,0.000691,0.009061,0.000578,0.951950
img_00432.jpg,0.579437,0.011926,0.032537,0.020293,0.054269,0.280918,0.007199,0.013422
img_00442.jpg,0.000008,0.000171,0.001470,0.000112,0.000009,0.000051,0.000212,0.997966
img_00446.jpg,0.737211,0.012801,0.002191,0.015525,0.100526,0.084976,0.003643,0.043127
img_00469.jpg,0.863448,0.019506,0.006823,0.020588,0.003768,0.016851,0.014697,0.054318
img_00473.jpg,0.786020,0.003804,0.002082,0.000907,0.049552,0.000533,0.000597,0.156505
img_00483.jpg,0.957802,0.000318,0.000299,0.000131,0.015087,0.000044,0.000494,0.025825
img_00484.jpg,0.337076,0.071761,0.032256,0.032916,0.023709,0.006096,0.018488,0.477699
img_00486.jpg,0.709361,0.069299,0.135921,0.038917,0.015399,0.020885,0.006669,0.003549
img_00487.jpg,0.000507,0.000215,0.000436,0.000603,0.996765,0.000135,0.000913,0.000425
img_00493.jpg,0.241455,0.004856,0.015722,0.051830,0.605351,0.043349,0.007000,0.030438
img_00518.jpg,0.791663,0.003654,0.035046,0.004004,0.125009,0.006184,0.017512,0.016927
img_00533.jpg,0.037854,0.187127,0.003167,0.024065,0.000426,0.034973,0.005231,0.707157
img_00538.jpg,0.718552,0.009223,0.018030,0.010968,0.026145,0.004397,0.002683,0.210002
img_00543.jpg,0.997891,0.000734,0.000044,0.000071,0.000487,0.000057,0.000022,0.000694
img_00550.jpg,0.589500,0.051796,0.028171,0.008018,0.062339,0.216007,0.011587,0.032581
img_00551.jpg,0.895989,0.005661,0.002823,0.009686,0.017186,0.063997,0.001591,0.003067
img_00564.jpg,0.029723,0.000362,0.000357,0.002538,0.954538,0.004790,0.001359,0.006333
img_00575.jpg,0.561565,0.007677,0.005448,0.005067,0.026665,0.079565,0.052316,0.261696
img_00582.jpg,0.663632,0.221677,0.009907,0.006262,0.004912,0.048771,0.015032,0.029808
img_00584.jpg,0.936768,0.004034,0.003591,0.001956,0.044554,0.001920,0.000236,0.006941
