image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.033616,0.002457,0.000362,0.000951,0.285944,0.002810,0.006416,0.000778
img_00007.jpg,0.292358,0.008179,0.001947,0.007133,0.000736,0.015378,0.002703,0.004899
img_00009.jpg,0.329123,0.000299,0.000146,0.000342,0.000984,0.002059,0.000189,0.000191
img_00018.jpg,0.325265,0.002051,0.000189,0.000570,0.001046,0.003098,0.000594,0.000521
img_00027.jpg,0.277747,0.001696,0.000689,0.001587,0.043524,0.005986,0.001160,0.000945
img_00030.jpg,0.279477,0.003347,0.000636,0.005442,0.037722,0.004749,0.001430,0.000531
img_00040.jpg,0.299743,0.001772,0.000200,0.001205,0.009172,0.001250,0.018411,0.001580
img_00046.jpg,0.144616,0.024228,0.003628,0.006856,0.133378,0.015125,0.005119,0.000383
img_00053.jpg,0.264715,0.006241,0.000750,0.004657,0.038651,0.014716,0.002069,0.001535
img_00071.jpg,0.320279,0.001400,0.000638,0.002105,0.000635,0.007497,0.000571,0.000208
img_00075.jpg,0.264232,0.010238,0.001882,0.003239,0.036278,0.009788,0.007185,0.000489
img_00102.jpg,0.145288,0.022796,0.000518,0.007752,0.075304,0.001847,0.074301,0.005527
img_00103.jpg,0.324789,0.006298,0.000160,0.000629,0.000306,0.000898,0.000220,0.000033
img_00109.jpg,0.091609,0.006830,0.002774,0.005699,0.208249,0.007841,0.007258,0.003073
img_00119.jpg,0.175383,0.002572,0.001301,0.002156,0.142732,0.001506,0.002414,0.005269
img_00120.jpg,0.323644,0.000083,0.000051,0.000775,0.002272,0.000831,0.002052,0.003625
img_00125.jpg,0.292730,0.011562,0.000983,0.001767,0.005783,0.008764,0.011115,0.000630
img_00128.jpg,0.106034,0.071222,0.005291,0.003204,0.005447,0.005479,0.116962,0.019695
img_00129.jpg,0.292003,0.006248,0.000182,0.001910,0.020594,0.005462,0.005852,0.001082
img_00133.jpg,0.258450,0.002477,0.000863,0.004802,0.042885,0.010616,0.009892,0.003350
img_00138.jpg,0.235244,0.011996,0.000375,0.002484,0.061060,0.019988,0.001910,0.000276
img_00141.jpg,0.116392,0.015918,0.002843,0.004754,0.018789,0.001324,0.123677,0.049637
img_00152.jpg,0.073153,0.017282,0.001501,0.004416,0.204064,0.012087,0.004293,0.016539
img_00161.jpg,0.024556,0.014488,0.006742,0.005590,0.206897,0.027257,0.009293,0.038510
img_00164.jpg,0.051185,0.008211,0.001805,0.002532,0.258808,0.006579,0.002583,0.001630
img_00170.jpg,0.077329,0.051676,0.003710,0.015046,0.156702,0.014627,0.012909,0.001334
img_00171.jpg,0.278960,0.002446,0.000365,0.003621,0.031037,0.014362,0.001389,0.001154
img_00172.jpg,0.126135,0.001305,0.000464,0.000986,0.194393,0.006435,0.001925,0.001690
img_00175.jpg,0.218698,0.004898,0.000475,0.003240,0.088735,0.014015,0.002576,0.000696
img_00180.jpg,0.073256,0.001220,0.000146,0.005753,0.175555,0.000267,0.066623,0.010514
img_00196.jpg,0.198890,0.001616,0.001188,0.001700,0.109245,0.001681,0.002520,0.016493
img_00212.jpg,0.128768,0.001209,0.001545,0.005684,0.177292,0.009605,0.001528,0.007702
img_00223.jpg,0.293447,0.007650,0.000335,0.002782,0.002703,0.025431,0.000527,0.000458
img_00230.jpg,0.320502,0.001581,0.000455,0.000535,0.001957,0.004581,0.003645,0.000078
img_00232.jpg,0.064932,0.078279,0.006951,0.003146,0.154397,0.003288,0.019098,0.003243
img_00244.jpg,0.331793,0.000399,0.000048,0.000173,0.000033,0.000709,0.000062,0.000116
img_00272.jpg,0.318985,0.004811,0.000414,0.001954,0.001369,0.005336,0.000262,0.000203
img_00280.jpg,0.266554,0.016940,0.000473,0.002158,0.036357,0.009188,0.001575,0.000088
img_00282.jpg,0.281577,0.001587,0.000275,0.002673,0.037028,0.008057,0.001459,0.000678
img_00285.jpg,0.278397,0.005113,0.000282,0.005304,0.024906,0.000169,0.017764,0.001399
img_00289.jpg,0.196127,0.011360,0.001533,0.003482,0.105292,0.011940,0.002271,0.001328
img_00292.jpg,0.316524,0.001550,0.000300,0.002849,0.003732,0.000815,0.002985,0.004579
img_00302.jpg,0.233684,0.016800,0.001100,0.007673,0.026182,0.006225,0.040357,0.001314
img_00311.jpg,0.194264,0.005264,0.007883,0.003182,0.099315,0.002780,0.004528,0.016117
img_00320.jpg,0.261963,0.032054,0.004198,0.002589,0.014276,0.006620,0.003812,0.007823
img_00331.jpg,0.211715,0.011812,0.001362,0.010727,0.071967,0.012621,0.008644,0.004485
img_00358.jpg,0.263435,0.032627,0.000282,0.002385,0.008637,0.000492,0.025400,0.000075
img_00374.jpg,0.329212,0.000908,0.000062,0.000265,0.000034,0.002616,0.000092,0.000144
img_00375.jpg,0.265306,0.010846,0.000595,0.001152,0.017640,0.037173,0.000474,0.000148
img_00376.jpg,0.278628,0.006660,0.000412,0.003953,0.022725,0.013941,0.005373,0.001641
img_00380.jpg,0.323977,0.000548,0.000150,0.000259,0.001739,0.006424,0.000182,0.000054
img_00383.jpg,0.252324,0.008206,0.002021,0.003409,0.028713,0.008655,0.005437,0.024568
img_00398.jpg,0.042558,0.002190,0.000792,0.002657,0.277505,0.004031,0.001772,0.001828
img_00407.jpg,0.162605,0.025267,0.001851,0.021818,0.076211,0.039783,0.004508,0.001292
img_00417.jpg,0.039960,0.001327,0.001215,0.004287,0.258251,0.021127,0.001942,0.005226
img_00432.jpg,0.195198,0.020889,0.002506,0.004850,0.083933,0.011315,0.008485,0.006158
img_00442.jpg,0.128031,0.063208,0.008209,0.007400,0.022071,0.098054,0.003626,0.002735
img_00446.jpg,0.318231,0.000337,0.000373,0.000426,0.000637,0.012903,0.000251,0.000175
img_00469.jpg,0.331052,0.000145,0.000052,0.000135,0.000548,0.001063,0.000259,0.000078
img_00473.jpg,0.107857,0.007059,0.002490,0.006700,0.190315,0.007888,0.004907,0.006118
img_00483.jpg,0.019908,0.005302,0.001307,0.001822,0.287343,0.002124,0.001860,0.013667
img_00484.jpg,0.299345,0.004549,0.000748,0.002683,0.011498,0.004604,0.004363,0.005543
img_00486.jpg,0.321034,0.001001,0.000146,0.000687,0.000393,0.009983,0.000079,0.000010
img_00487.jpg,0.027618,0.011655,0.006228,0.008313,0.259061,0.003278,0.015378,0.001803
img_00493.jpg,0.134142,0.009571,0.001011,0.005251,0.149206,0.013208,0.006306,0.014639
img_00518.jpg,0.203478,0.013118,0.001156,0.003127,0.098381,0.012567,0.001192,0.000314
img_00533.jpg,0.261336,0.007611,0.000141,0.001865,0.002537,0.000511,0.058692,0.000639
img_00538.jpg,0.311032,0.000794,0.000213,0.001268,0.016671,0.001899,0.000565,0.000890
img_00543.jpg,0.225566,0.022545,0.003688,0.004603,0.061936,0.006860,0.003513,0.004624
img_00550.jpg,0.188004,0.015558,0.001750,0.009316,0.075355,0.018726,0.010443,0.014181
img_00551.jpg,0.155011,0.023593,0.001836,0.008749,0.093589,0.035787,0.014086,0.000681
img_00564.jpg,0.219319,0.001257,0.000689,0.001367,0.099803,0.004746,0.002888,0.003264
img_00575.jpg,0.265649,0.009492,0.000634,0.002763,0.037833,0.001941,0.014175,0.000846
img_00582.jpg,0.328667,0.000555,0.000055,0.000418,0.000545,0.002675,0.000193,0.000225
img_00584.jpg,0.026371,0.027939,0.001764,0.004682,0.261622,0.003531,0.006119,0.001305
img_00587.jpg,0.221696,0.014471,0.002072,0.005476,0.073076,0.009902,0.005767,0.000873
img_00590.jpg,0.189554,0.003581,0.000094,0.001718,0.012917,0.000216,0.124398,0.000853
img_00591.jpg,0.289642,0.018363,0.000475,0.002915,0.008119,0.005363,0.007739,0.000717
img_00598.jpg,0.327487,0.001188,0.000069,0.000861,0.000358,0.003186,0.000147,0.000038
img_00599.jpg,0.152840,0.020113,0.000468,0.009432,0.026312,0.006750,0.116223,0.001194
img_00612.jpg,0.271111,0.000659,0.000215,0.001771,0.051546,0.004901,0.002052,0.001078
img_00618.jpg,0.303308,0.003107,0.001161,0.002487,0.011710,0.009407,0.001144,0.001007
img_00620.jpg,0.295142,0.004873,0.000774,0.001908,0.018404,0.009777,0.001491,0.000964
img_00642.jpg,0.296715,0.011030,0.000433,0.001786,0.000823,0.021621,0.000735,0.000191
img_00646.jpg,0.158916,0.075782,0.009078,0.005898,0.012249,0.058117,0.005350,0.007943
img_00648.jpg,0.196235,0.002876,0.001606,0.002391,0.114306,0.002796,0.002282,0.010842
img_00650.jpg,0.276307,0.000839,0.000371,0.001559,0.044144,0.001745,0.003273,0.005094
img_00654.jpg,0.148951,0.010447,0.000769,0.005916,0.136416,0.028435,0.001968,0.000430
img_00664.jpg,0.222792,0.049566,0.005421,0.005875,0.027430,0.012962,0.008154,0.001135
img_00667.jpg,0.291196,0.005695,0.001186,0.003015,0.024038,0.001370,0.000947,0.005886
