image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.060580,0.001087,0.003114,0.000061,0.929417,0.000382,0.000146,0.005213
img_00007.jpg,0.109969,0.019680,0.012490,0.211113,0.036684,0.014670,0.000937,0.594457
img_00009.jpg,0.857719,0.025354,0.001075,0.000364,0.015155,0.014155,0.001399,0.084778
img_00018.jpg,0.955873,0.000802,0.000473,0.000089,0.000086,0.024798,0.000015,0.017863
img_00027.jpg,0.572251,0.003445,0.000384,0.000077,0.003897,0.003262,0.000193,0.416492
img_00030.jpg,0.442923,0.013503,0.037475,0.000824,0.386981,0.056726,0.022831,0.038737
img_00040.jpg,0.593746,0.019552,0.000460,0.000084,0.001675,0.026591,0.318970,0.038923
img_00046.jpg,0.797722,0.000360,0.000133,0.000284,0.196940,0.003632,0.000525,0.000405
img_00053.jpg,0.959635,0.005681,0.000776,0.000163,0.029322,0.000138,0.000245,0.004040
img_00071.jpg,0.022976,0.030078,0.000672,0.881535,0.048506,0.007710,0.000312,0.008211
img_00075.jpg,0.812302,0.004601,0.000084,0.000062,0.001794,0.177698,0.000106,0.003353
img_00102.jpg,0.661883,0.041743,0.000605,0.000097,0.002815,0.029427,0.005848,0.257582
img_00103.jpg,0.658123,0.018285,0.002531,0.000736,0.075115,0.157828,0.001420,0.085963
img_00109.jpg,0.981010,0.000025,0.000120,0.000007,0.017081,0.001512,0.000030,0.000215
img_00119.jpg,0.072318,0.262522,0.002181,0.000252,0.135997,0.005591,0.000771,0.520368
img_00120.jpg,0.072525,0.035112,0.000452,0.000053,0.003448,0.000373,0.010937,0.877100
img_00125.jpg,0.800535,0.022954,0.003369,0.048746,0.011905,0.006826,0.006044,0.099620
img_00128.jpg,0.003590,0.005314,0.967850,0.000034,0.001921,0.000098,0.000097,0.021096
img_00129.jpg,0.487546,0.024778,0.001148,0.000154,0.003076,0.085330,0.281580,0.116388
img_00133.jpg,0.098208,0.004524,0.001257,0.001943,0.673088,0.023739,0.000487,0.196755
img_00138.jpg,0.869896,0.023646,0.002823,0.000195,0.076597,0.008667,0.000617,0.017561
img_00141.jpg,0.003186,0.001189,0.001362,0.000011,0.000153,0.000132,0.000161,0.993805
img_00152.jpg,0.043190,0.009997,0.001670,0.000168,0.065337,0.005476,0.000846,0.873316
img_00161.jpg,0.000270,0.000994,0.000205,0.000205,0.010068,0.062832,0.001929,0.923496
img_00164.jpg,0.003600,0.001150,0.000668,0.000323,0.889985,0.010194,0.000624,0.093456
img_00170.jpg,0.801253,0.001011,0.001533,0.008229,0.041415,0.109307,0.000139,0.037112
img_00171.jpg,0.268327,0.003257,0.002189,0.002403,0.014413,0.704679,0.001840,0.002894
img_00172.jpg,0.048605,0.018442,0.001177,0.000038,0.923080,0.000408,0.000409,0.007840
img_00175.jpg,0.312538,0.000666,0.003153,0.004152,0.001369,0.671088,0.000786,0.006248
img_00180.jpg,0.067374,0.010044,0.003909,0.000393,0.108344,0.001431,0.004971,0.803533
img_00196.jpg,0.031710,0.340682,0.000709,0.000132,0.127655,0.000742,0.000907,0.497464
img_00212.jpg,0.183136,0.009577,0.000076,0.000708,0.005959,0.000856,0.000336,0.799352
img_00223.jpg,0.822646,0.030518,0.005966,0.000684,0.097884,0.029227,0.000600,0.012475
img_00230.jpg,0.659922,0.286779,0.010170,0.000203,0.001343,0.002780,0.001240,0.037564
img_00232.jpg,0.043555,0.013398,0.000564,0.000325,0.054423,0.000736,0.870358,0.016642
img_00244.jpg,0.683012,0.024380,0.003513,0.010246,0.019325,0.083980,0.001967,0.173578
img_00272.jpg,0.422952,0.110714,0.127127,0.014809,0.010405,0.041392,0.012328,0.260273
img_00280.jpg,0.402639,0.004042,0.001172,0.000326,0.561793,0.010120,0.000106,0.019803
img_00282.jpg,0.222374,0.009044,0.003877,0.003438,0.024814,0.729009,0.001593,0.005852
img_00285.jpg,0.617833,0.031877,0.001492,0.000274,0.018758,0.009604,0.089656,0.230505
img_00289.jpg,0.833731,0.005745,0.000131,0.000166,0.133715,0.011653,0.001199,0.013661
img_00292.jpg,0.175252,0.022428,0.004651,0.001883,0.191911,0.109292,0.143379,0.351205
img_00302.jpg,0.634986,0.024509,0.000584,0.000104,0.006067,0.049984,0.252063,0.031704
img_00311.jpg,0.960103,0.000096,0.000011,0.000005,0.025882,0.000289,0.000006,0.013607
img_00320.jpg,0.974328,0.001583,0.000257,0.000022,0.008582,0.000450,0.001112,0.013666
img_00331.jpg,0.637951,0.013745,0.000266,0.000047,0.014834,0.037865,0.001731,0.293561
img_00358.jpg,0.361534,0.123891,0.001892,0.000195,0.003241,0.066932,0.034751,0.407563
img_00374.jpg,0.941178,0.015808,0.000191,0.000122,0.007464,0.000828,0.000510,0.033899
img_00375.jpg,0.583046,0.044689,0.020603,0.005757,0.222186,0.048916,0.001732,0.073071
img_00376.jpg,0.740809,0.000179,0.000160,0.000061,0.082067,0.000232,0.000036,0.176456
img_00380.jpg,0.975873,0.001876,0.006896,0.000952,0.003485,0.005594,0.000035,0.005288
img_00383.jpg,0.928615,0.005297,0.000033,0.000097,0.048945,0.000632,0.000046,0.016334
img_00398.jpg,0.752214,0.029253,0.001122,0.000407,0.060226,0.009216,0.006204,0.141358
img_00407.jpg,0.977448,0.006022,0.000319,0.003247,0.001775,0.010093,0.000057,0.001039
img_00417.jpg,0.165330,0.002762,0.000091,0.000713,0.004099,0.000276,0.000488,0.826242
img_00432.jpg,0.821003,0.005667,0.011243,0.000034,0.113728,0.000314,0.000095,0.047916
img_00442.jpg,0.006393,0.000740,0.008512,0.000204,0.005506,0.000542,0.000036,0.978066
img_00446.jpg,0.876196,0.006853,0.000204,0.003394,0.090642,0.018972,0.000111,0.003628
img_00469.jpg,0.529492,0.014880,0.006181,0.004171,0.097885,0.029735,0.000619,0.317038
img_00473.jpg,0.805093,0.015301,0.005872,0.000100,0.044532,0.000863,0.000625,0.127614
img_00483.jpg,0.978835,0.000339,0.000182,0.000007,0.001723,0.000097,0.000774,0.018042
img_00484.jpg,0.226546,0.411607,0.008578,0.002278,0.039773,0.000910,0.002474,0.307834
img_00486.jpg,0.755258,0.090945,0.143857,0.001735,0.002344,0.000703,0.000585,0.004573
img_00487.jpg,0.014022,0.000978,0.000112,0.002442,0.981880,0.000333,0.000029,0.000204
img_00493.jpg,0.290224,0.027228,0.019694,0.009611,0.580771,0.015721,0.005227,0.051524
img_00518.jpg,0.451175,0.000508,0.000150,0.000276,0.539543,0.003131,0.000759,0.004458
img_00533.jpg,0.294360,0.111893,0.000341,0.000154,0.005658,0.002051,0.004027,0.581516
img_00538.jpg,0.617989,0.198281,0.012945,0.000564,0.003180,0.010469,0.043072,0.113500
img_00543.jpg,0.979505,0.000056,0.000008,0.000007,0.012352,0.000269,0.000005,0.007798
img_00550.jpg,0.842671,0.061981,0.000159,0.000010,0.083431,0.000127,0.000036,0.011584
img_00551.jpg,0.862330,0.008870,0.000626,0.001267,0.002186,0.117674,0.000224,0.006822
img_00564.jpg,0.014872,0.005319,0.000111,0.000048,0.975283,0.000288,0.000641,0.003438
img_00575.jpg,0.444804,0.009043,0.000152,0.000032,0.006010,0.000768,0.005522,0.533669
img_00582.jpg,0.845507,0.015372,0.000310,0.000423,0.120864,0.005998,0.000443,0.011084
img_00584.jpg,0.995579,0.000151,0.000174,0.000004,0.002249,0.000498,0.000028,0.001318
img_00587.jpg,0.533793,0.001178,0.000083,0.000014,0.000730,0.000975,0.000020,0.463206
img_00590.jpg,0.526152,0.028734,0.000453,0.001040,0.002811,0.006233,0.000414,0.434163
img_00591.jpg,0.463416,0.022658,0.000777,0.000205,0.002137,0.003711,0.008347,0.498749
img_00598.jpg,0.818588,0.008817,0.000600,0.000312,0.001097,0.045319,0.000349,0.124917
img_00599.jpg,0.898382,0.016993,0.000246,0.000101,0.004015,0.012277,0.002101,0.065885
img_00612.jpg,0.735282,0.003190,0.004816,0.000092,0.017033,0.194813,0.019144,0.025630
img_00618.jpg,0.693264,0.001403,0.000193,0.000128,0.271944,0.014714,0.001769,0.016586
img_00620.jpg,0.970890,0.009782,0.002152,0.000290,0.008325,0.003469,0.000145,0.004947
img_00642.jpg,0.080315,0.022736,0.079138,0.671835,0.040105,0.083831,0.001907,0.020132
img_00646.jpg,0.002115,0.000982,0.044951,0.000056,0.002974,0.038983,0.000262,0.909677
img_00648.jpg,0.950422,0.000066,0.000010,0.000007,0.035750,0.000316,0.000005,0.013424
img_00650.jpg,0.829795,0.018362,0.007572,0.000236,0.030301,0.019560,0.015736,0.078438
img_00654.jpg,0.557856,0.035050,0.006800,0.000497,0.392528,0.006157,0.000437,0.000674
img_00664.jpg,0.916936,0.000430,0.003151,0.000074,0.041030,0.000481,0.001203,0.036695
img_00667.jpg,0.050089,0.314369,0.001513,0.000247,0.161816,0.002145,0.000642,0.469180
img_00676.jpg,0.066098,0.251402,0.001536,0.000279,0.144819,0.004051,0.000568,0.531246
img_00697.jpg,0.000417,0.000024,0.000339,0.000003,0.000023,0.000053,0.000062,0.999079
img_00708.jpg,0.377890,0.244865,0.001349,0.000070,0.006213,0.011635,0.001618,0.356359
img_00716.jpg,0.216882,0.069376,0.024941,0.001142,0.008961,0.027278,0.110269,0.541151
img_00717.jpg,0.725251,0.214731,0.000303,0.002186,0.017440,0.001328,0.000296,0.038465
img_00718.jpg,0.829020,0.000758,0.000957,0.000929,0.014838,0.107218,0.000547,0.045733
img_00723.jpg,0.127974,0.000128,0.000113,0.000023,0.852490,0.001230,0.000012,0.018031
img_00724.jpg,0.087983,0.005665,0.003677,0.033483,0.180976,0.006058,0.079806,0.602352
img_00726.jpg,0.975983,0.000787,0.000219,0.000024,0.019821,0.000568,0.002051,0.000546
img_00729.jpg,0.475590,0.005379,0.000360,0.000449,0.496218,0.006821,0.000802,0.014380
img_00730.jpg,0.384599,0.002290,0.000164,0.000797,0.001268,0.000073,0.000032,0.610778
img_00757.jpg,0.947560,0.009365,0.000727,0.000952,0.013450,0.001954,0.000040,0.025950
img_00760.jpg,0.077995,0.005994,0.000659,0.755742,0.040799,0.001136,0.000045,0.117629
img_00763.jpg,0.107022,0.005061,0.005561,0.000114,0.692020,0.000463,0.000691,0.189068
img_00764.jpg,0.002907,0.060192,0.052630,0.000288,0.314350,0.001304,0.001175,0.567154
img_00765.jpg,0.046768,0.039191,0.006530,0.151698,0.046986,0.517884,0.005248,0.185695
img_00772.jpg,0.001556,0.006073,0.907547,0.000058,0.005699,0.000103,0.000259,0.078706
img_00773.jpg,0.551317,0.053118,0.290917,0.002707,0.013449,0.047341,0.002650,0.038499
img_00777.jpg,0.870273,0.004432,0.000425,0.000266,0.042344,0.067013,0.001044,0.014204
img_00780.jpg,0.004359,0.013661,0.033966,0.000040,0.002953,0.016363,0.000387,0.928271
img_00798.jpg,0.822983,0.002546,0.002357,0.000112,0.007145,0.001018,0.000744,0.163094
img_00808.jpg,0.732816,0.071696,0.000685,0.000649,0.003350,0.029669,0.000505,0.160630
img_00816.jpg,0.988948,0.000082,0.000042,0.000056,0.006605,0.001010,0.000604,0.002654
img_00828.jpg,0.001173,0.001210,0.000194,0.000017,0.986384,0.002572,0.000792,0.007658
img_00833.jpg,0.230871,0.422822,0.002935,0.000118,0.018458,0.012367,0.003438,0.308992
img_00837.jpg,0.975535,0.002661,0.000039,0.000143,0.020125,0.000970,0.000103,0.000424
img_00855.jpg,0.786816,0.026645,0.001263,0.000711,0.058134,0.003842,0.002587,0.120002
img_00857.jpg,0.973924,0.001036,0.000154,0.000031,0.007174,0.001312,0.003679,0.012690
img_00858.jpg,0.814963,0.002615,0.000205,0.000643,0.158569,0.018507,0.000925,0.003572
img_00865.jpg,0.752637,0.196365,0.005729,0.001749,0.012861,0.020398,0.005337,0.004924
img_00876.jpg,0.048274,0.226398,0.002701,0.000184,0.160526,0.006017,0.001670,0.554229
img_00889.jpg,0.008831,0.000891,0.509209,0.000462,0.002969,0.005691,0.000382,0.471564
img_00894.jpg,0.832015,0.004064,0.008874,0.000603,0.106603,0.001178,0.000086,0.046577
img_00902.jpg,0.031749,0.011346,0.000529,0.000171,0.035844,0.000711,0.886674,0.032975
img_00914.jpg,0.003467,0.003056,0.006374,0.000096,0.018924,0.000489,0.000280,0.967313
img_00921.jpg,0.753698,0.001686,0.000286,0.000262,0.099040,0.001917,0.000188,0.142923
img_00927.jpg,0.276996,0.006000,0.000192,0.000173,0.003482,0.003205,0.000146,0.709806
img_00943.jpg,0.960341,0.000306,0.000117,0.000005,0.000753,0.000091,0.000295,0.038092
img_00948.jpg,0.610626,0.003837,0.001216,0.000912,0.303520,0.005079,0.000343,0.074467
img_00950.jpg,0.231958,0.001329,0.000080,0.000045,0.759993,0.005194,0.000037,0.001363
img_00959.jpg,0.968792,0.001263,0.000073,0.000085,0.023592,0.003616,0.000113,0.002465
img_00962.jpg,0.073337,0.063521,0.018675,0.000317,0.009373,0.004532,0.000759,0.829486
img_00964.jpg,0.000504,0.000095,0.984107,0.000006,0.000059,0.000304,0.000018,0.014907
img_00966.jpg,0.847376,0.009864,0.002219,0.000097,0.077936,0.027002,0.002573,0.032934
img_00974.jpg,0.695037,0.047223,0.005807,0.002885,0.059301,0.017558,0.002123,0.170066
img_00979.jpg,0.669104,0.018323,0.013215,0.001954,0.031563,0.016970,0.000608,0.248263
img_00982.jpg,0.115603,0.005718,0.000510,0.002807,0.215171,0.004239,0.001405,0.654546
img_00985.jpg,0.191998,0.023521,0.006040,0.002096,0.127823,0.156246,0.082303,0.409973
img_00999.jpg,0.882291,0.004460,0.000039,0.000009,0.001309,0.000050,0.000036,0.111808
img_01022.jpg,0.965290,0.000669,0.000778,0.002395,0.012300,0.005938,0.000569,0.012062
img_01031.jpg,0.930604,0.006929,0.002542,0.001558,0.007462,0.049326,0.000181,0.001398
img_01035.jpg,0.852577,0.004712,0.000474,0.000412,0.064309,0.056697,0.000749,0.020070
img_01043.jpg,0.094946,0.011213,0.000147,0.000157,0.886425,0.000696,0.000305,0.006110
img_01058.jpg,0.309255,0.047494,0.000086,0.000063,0.006389,0.000176,0.002633,0.633905
img_01059.jpg,0.829801,0.007207,0.002158,0.000771,0.017912,0.025162,0.037386,0.079603
img_01090.jpg,0.350770,0.055708,0.001054,0.000333,0.338190,0.001468,0.001363,0.251114
img_01102.jpg,0.566636,0.005427,0.000847,0.000273,0.257187,0.001007,0.000104,0.168520
img_01103.jpg,0.040231,0.045951,0.000530,0.000099,0.002110,0.000087,0.000142,0.910850
img_01116.jpg,0.954780,0.002403,0.000961,0.003671,0.015371,0.001684,0.000211,0.020920
img_01134.jpg,0.796964,0.002419,0.000476,0.000991,0.003736,0.181851,0.000213,0.013348
img_01142.jpg,0.926502,0.011579,0.000570,0.000119,0.002043,0.000800,0.000431,0.057956
img_01168.jpg,0.256754,0.341520,0.000415,0.008784,0.034827,0.265413,0.001656,0.090631
img_01171.jpg,0.159217,0.003499,0.002980,0.000072,0.685790,0.000587,0.000363,0.147492
img_01177.jpg,0.960153,0.006225,0.001430,0.000084,0.016777,0.000797,0.000424,0.014110
img_01179.jpg,0.943632,0.000836,0.000987,0.001694,0.039618,0.007519,0.000110,0.005603
img_01188.jpg,0.030549,0.025686,0.004319,0.132821,0.069099,0.610437,0.004793,0.122296
img_01198.jpg,0.298076,0.020989,0.000636,0.000582,0.578331,0.003120,0.000104,0.098162
img_01204.jpg,0.035965,0.243579,0.001238,0.000195,0.129347,0.002287,0.000896,0.586493
img_01208.jpg,0.362992,0.000219,0.000700,0.000036,0.626899,0.000541,0.000028,0.008585
img_01211.jpg,0.946302,0.002834,0.000257,0.000144,0.017779,0.003189,0.000190,0.029303
