image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.000434,0.000001,0.000021,0.000000,0.999536,0.000008,0.000000,0.000000
img_00007.jpg,0.733771,0.049299,0.015254,0.005776,0.000744,0.002023,0.000378,0.192755
img_00009.jpg,0.895673,0.028907,0.007050,0.000272,0.003060,0.054992,0.001479,0.008566
img_00018.jpg,0.753221,0.001015,0.000025,0.000354,0.000040,0.245318,0.000009,0.000017
img_00027.jpg,0.313021,0.001735,0.000009,0.000006,0.001595,0.683206,0.000023,0.000405
img_00030.jpg,0.064995,0.002997,0.000163,0.000017,0.915376,0.000560,0.013722,0.002170
img_00040.jpg,0.277322,0.306497,0.000191,0.000173,0.000648,0.010776,0.193594,0.210798
img_00046.jpg,0.812632,0.000144,0.000585,0.000019,0.183614,0.001589,0.001173,0.000244
img_00053.jpg,0.999851,0.000005,0.000012,0.000003,0.000105,0.000004,0.000017,0.000003
img_00071.jpg,0.015973,0.000410,0.001221,0.972663,0.001749,0.002299,0.003959,0.001727
img_00075.jpg,0.219838,0.000667,0.000024,0.000005,0.000054,0.779119,0.000004,0.000289
img_00102.jpg,0.115776,0.089807,0.000467,0.000048,0.000474,0.003320,0.000098,0.790008
img_00103.jpg,0.906520,0.004742,0.042560,0.002737,0.002808,0.002426,0.000461,0.037747
img_00109.jpg,0.978250,0.000342,0.000073,0.000001,0.021223,0.000006,0.000076,0.000029
img_00119.jpg,0.015862,0.007143,0.000524,0.002545,0.803248,0.005150,0.000207,0.165321
img_00120.jpg,0.064351,0.000725,0.000060,0.000001,0.000038,0.000063,0.000102,0.934659
img_00125.jpg,0.982287,0.011175,0.000407,0.000025,0.001191,0.000171,0.000282,0.004461
img_00128.jpg,0.006010,0.132297,0.629523,0.000011,0.006830,0.000308,0.000136,0.224885
img_00129.jpg,0.230507,0.213366,0.000094,0.000141,0.000521,0.005256,0.473833,0.076282
img_00133.jpg,0.004731,0.000715,0.000087,0.000199,0.976954,0.016315,0.000309,0.000691
img_00138.jpg,0.990385,0.003699,0.000314,0.000216,0.002329,0.000768,0.000255,0.002034
img_00141.jpg,0.000021,0.001336,0.000795,0.000003,0.000032,0.000020,0.000096,0.997698
img_00152.jpg,0.000320,0.000020,0.000089,0.000035,0.000082,0.000440,0.000002,0.999013
img_00161.jpg,0.000000,0.000007,0.000000,0.000000,0.000000,0.000009,0.000000,0.999983
img_00164.jpg,0.000056,0.001288,0.000112,0.000005,0.260150,0.001943,0.000023,0.736423
img_00170.jpg,0.615417,0.000086,0.000591,0.045586,0.005137,0.317778,0.000026,0.015378
img_00171.jpg,0.116171,0.000014,0.000519,0.001069,0.000438,0.881417,0.000058,0.000314
img_00172.jpg,0.000083,0.000000,0.000002,0.000000,0.999911,0.000002,0.000000,0.000001
img_00175.jpg,0.582821,0.000004,0.000104,0.000222,0.000141,0.416525,0.000016,0.000166
img_00180.jpg,0.023381,0.000005,0.000002,0.000001,0.000014,0.000002,0.000000,0.976595
img_00196.jpg,0.002392,0.009949,0.000048,0.000495,0.963694,0.000670,0.000081,0.022671
img_00212.jpg,0.003514,0.000026,0.000020,0.000028,0.000598,0.000039,0.000049,0.995727
img_00223.jpg,0.146227,0.002291,0.674054,0.000116,0.000386,0.002080,0.001572,0.173273
img_00230.jpg,0.793833,0.198394,0.000218,0.000045,0.000031,0.000730,0.000053,0.006696
img_00232.jpg,0.000027,0.001999,0.000003,0.000002,0.000011,0.000000,0.989434,0.008523
img_00244.jpg,0.724143,0.138011,0.000787,0.003022,0.001037,0.008101,0.000378,0.124521
img_00272.jpg,0.454379,0.002903,0.295545,0.001349,0.000691,0.001388,0.000150,0.243595
img_00280.jpg,0.754621,0.000395,0.000327,0.000066,0.240899,0.002726,0.000065,0.000901
img_00282.jpg,0.130585,0.000072,0.000733,0.003736,0.003267,0.861170,0.000222,0.000215
img_00285.jpg,0.923255,0.000927,0.000271,0.000002,0.000171,0.000183,0.000168,0.075022
img_00289.jpg,0.954678,0.003918,0.000023,0.000092,0.041038,0.000196,0.000026,0.000028
img_00292.jpg,0.558013,0.040807,0.000508,0.001876,0.125315,0.231436,0.004318,0.037727
img_00302.jpg,0.165808,0.230377,0.000105,0.000209,0.000600,0.001976,0.414033,0.186893
img_00311.jpg,0.999565,0.000201,0.000002,0.000000,0.000107,0.000008,0.000002,0.000116
img_00320.jpg,0.957816,0.003548,0.000293,0.000003,0.000895,0.000018,0.002540,0.034888
img_00331.jpg,0.402352,0.000472,0.000050,0.000090,0.032281,0.561771,0.002172,0.000812
img_00358.jpg,0.507113,0.066515,0.000040,0.000734,0.000438,0.098711,0.000105,0.326344
img_00374.jpg,0.831219,0.001215,0.000962,0.000063,0.000095,0.005072,0.000045,0.161330
img_00375.jpg,0.695040,0.058124,0.019451,0.004612,0.177667,0.035387,0.001085,0.008635
img_00376.jpg,0.500177,0.000319,0.002187,0.000011,0.093742,0.084931,0.001731,0.316903
img_00380.jpg,0.966589,0.000229,0.002014,0.000195,0.019471,0.010657,0.000371,0.000473
img_00383.jpg,0.999303,0.000463,0.000005,0.000000,0.000095,0.000011,0.000002,0.000121
img_00398.jpg,0.491998,0.004183,0.000788,0.000080,0.424155,0.005208,0.001905,0.071683
img_00407.jpg,0.978145,0.000384,0.000066,0.000267,0.000067,0.020252,0.000024,0.000795
img_00417.jpg,0.002345,0.000006,0.000037,0.000007,0.000631,0.000020,0.000020,0.996935
img_00432.jpg,0.648582,0.050135,0.065770,0.000306,0.057592,0.153042,0.000907,0.023667
img_00442.jpg,0.000037,0.000923,0.000049,0.000000,0.000007,0.000236,0.000010,0.998738
img_00446.jpg,0.984466,0.000560,0.000028,0.000106,0.006222,0.006140,0.000059,0.002419
img_00469.jpg,0.893177,0.001270,0.002231,0.000792,0.000842,0.012921,0.000224,0.088543
img_00473.jpg,0.972842,0.000011,0.000104,0.000007,0.000389,0.000022,0.000004,0.026622
img_00483.jpg,0.994578,0.000086,0.000003,0.000001,0.005224,0.000001,0.000012,0.000095
img_00484.jpg,0.231813,0.290671,0.001713,0.000978,0.062914,0.000547,0.012028,0.399336
img_00486.jpg,0.503265,0.008669,0.450294,0.015523,0.001878,0.008356,0.000168,0.011847
img_00487.jpg,0.000014,0.000038,0.000001,0.000001,0.999935,0.000004,0.000003,0.000004
img_00493.jpg,0.389198,0.024869,0.001913,0.015730,0.488273,0.059823,0.000769,0.019425
img_00518.jpg,0.861822,0.000182,0.000256,0.000006,0.133993,0.000699,0.001530,0.001512
img_00533.jpg,0.522372,0.043985,0.000360,0.000104,0.000833,0.020217,0.002131,0.409999
img_00538.jpg,0.962714,0.011158,0.000887,0.002200,0.001711,0.014647,0.000110,0.006573
img_00543.jpg,0.999800,0.000123,0.000001,0.000000,0.000028,0.000002,0.000001,0.000045
img_00550.jpg,0.558921,0.114693,0.059656,0.000080,0.072588,0.185379,0.000374,0.008309
img_00551.jpg,0.822732,0.000047,0.000147,0.000513,0.000288,0.175943,0.000021,0.000309
img_00564.jpg,0.000213,0.000098,0.000040,0.000004,0.998868,0.000716,0.000006,0.000056
img_00575.jpg,0.090977,0.000081,0.000046,0.000008,0.003212,0.004810,0.000112,0.900753
img_00582.jpg,0.604283,0.015323,0.001755,0.000427,0.311166,0.024265,0.000241,0.042541
img_00584.jpg,0.997859,0.000769,0.000011,0.000003,0.001288,0.000020,0.000017,0.000033
img_00587.jpg,0.776931,0.043289,0.000059,0.000067,0.002864,0.099582,0.000036,0.077173
