image,ALB,BET,DOL,LAG,NoF,OTHER,SHARK,YFT
img_00005.jpg,0.000054,0.000002,0.001036,0.000000,0.998873,0.000001,0.000000,0.000033
img_00007.jpg,0.683279,0.195096,0.001228,0.000749,0.004055,0.001949,0.000023,0.113620
img_00009.jpg,0.995664,0.004285,0.000001,0.000003,0.000002,0.000016,0.000000,0.000028
img_00018.jpg,0.993841,0.002345,0.000037,0.002339,0.000032,0.001229,0.000001,0.000175
img_00027.jpg,0.184508,0.000034,0.000015,0.000021,0.001956,0.811084,0.000008,0.002375
img_00030.jpg,0.682550,0.000371,0.000361,0.000203,0.309161,0.001217,0.003335,0.002802
img_00040.jpg,0.098477,0.003423,0.000120,0.001635,0.001085,0.078890,0.785876,0.030493
img_00046.jpg,0.966817,0.000008,0.000033,0.000018,0.032877,0.000090,0.000089,0.000069
img_00053.jpg,0.998029,0.000138,0.000391,0.000455,0.000542,0.000357,0.000005,0.000083
img_00071.jpg,0.176858,0.000384,0.001381,0.788721,0.000073,0.030912,0.000242,0.001431
img_00075.jpg,0.356611,0.000819,0.000005,0.000024,0.000148,0.642358,0.000001,0.000035
img_00102.jpg,0.138513,0.059106,0.000056,0.000087,0.000078,0.000065,0.000175,0.801919
img_00103.jpg,0.993875,0.000129,0.000002,0.000017,0.000004,0.005963,0.000000,0.000010
img_00109.jpg,0.998627,0.000006,0.000007,0.000003,0.001266,0.000012,0.000069,0.000010
img_00119.jpg,0.012069,0.325231,0.000471,0.000310,0.137135,0.000182,0.000305,0.524297
img_00120.jpg,0.800097,0.011507,0.000113,0.000117,0.000172,0.000078,0.001421,0.186494
img_00125.jpg,0.962288,0.000025,0.000720,0.001034,0.000294,0.002804,0.000143,0.032692
img_00128.jpg,0.001462,0.001943,0.129965,0.000011,0.002313,0.000050,0.000009,0.864246
img_00129.jpg,0.469454,0.005025,0.000087,0.000798,0.001611,0.289240,0.196249,0.037535
img_00133.jpg,0.000656,0.000038,0.000071,0.000010,0.998560,0.000034,0.000019,0.000613
img_00138.jpg,0.999381,0.000068,0.000071,0.000036,0.000113,0.000309,0.000001,0.000021
img_00141.jpg,0.000005,0.000011,0.000005,0.000000,0.000000,0.000000,0.000000,0.999979
img_00152.jpg,0.010507,0.005994,0.000347,0.000119,0.001602,0.004777,0.000032,0.976622
img_00161.jpg,0.000000,0.000002,0.000001,0.000000,0.000000,0.000000,0.000000,0.999996
img_00164.jpg,0.000014,0.000003,0.000003,0.000001,0.999744,0.000002,0.000000,0.000234
img_00170.jpg,0.996704,0.000442,0.000027,0.001940,0.000011,0.000816,0.000004,0.000056
img_00171.jpg,0.933951,0.000096,0.000046,0.000577,0.000060,0.065070,0.000004,0.000194
img_00172.jpg,0.000033,0.000000,0.000004,0.000000,0.999960,0.000001,0.000000,0.000002
img_00175.jpg,0.873486,0.000161,0.000165,0.002227,0.000262,0.123352,0.000056,0.000292
img_00180.jpg,0.157191,0.000134,0.001246,0.000534,0.000549,0.000402,0.000627,0.839315
img_00196.jpg,0.002676,0.473659,0.000193,0.000113,0.444399,0.000165,0.000135,0.078660
img_00212.jpg,0.000244,0.000318,0.000004,0.000000,0.000007,0.000003,0.000000,0.999423
img_00223.jpg,0.994284,0.000604,0.003828,0.000339,0.000520,0.000259,0.000010,0.000156
img_00230.jpg,0.825350,0.159366,0.000051,0.000328,0.013810,0.000296,0.000001,0.000799
img_00232.jpg,0.000197,0.001149,0.000096,0.000006,0.000001,0.000020,0.996811,0.001720
img_00244.jpg,0.386836,0.531970,0.002871,0.000378,0.000121,0.000314,0.000146,0.077363
img_00272.jpg,0.992331,0.000592,0.003599,0.001060,0.000055,0.002120,0.000028,0.000216
img_00280.jpg,0.644151,0.000139,0.000163,0.000017,0.353302,0.000020,0.000014,0.002194
img_00282.jpg,0.870265,0.000210,0.000062,0.000800,0.000093,0.128372,0.000018,0.000180
img_00285.jpg,0.997284,0.000114,0.000035,0.000097,0.000279,0.000502,0.000082,0.001606
img_00289.jpg,0.949768,0.000776,0.000060,0.000014,0.049230,0.000076,0.000008,0.000068
img_00292.jpg,0.979164,0.013596,0.000039,0.000199,0.000616,0.002789,0.001074,0.002523
img_00302.jpg,0.343094,0.005140,0.000226,0.001767,0.003090,0.285229,0.282529,0.078925
img_00311.jpg,0.999872,0.000015,0.000002,0.000004,0.000025,0.000003,0.000017,0.000061
img_00320.jpg,0.992763,0.001448,0.000027,0.000007,0.005213,0.000017,0.000022,0.000503
img_00331.jpg,0.762997,0.001201,0.000079,0.000502,0.109702,0.048563,0.000614,0.076342
img_00358.jpg,0.998387,0.000178,0.000012,0.000091,0.000082,0.000107,0.000002,0.001142
img_00374.jpg,0.452765,0.000830,0.000187,0.000190,0.000479,0.025230,0.000028,0.520290
img_00375.jpg,0.996573,0.001198,0.000196,0.000093,0.000830,0.001009,0.000004,0.000097
img_00376.jpg,0.985789,0.000028,0.000050,0.000021,0.009955,0.000408,0.000092,0.003657
img_00380.jpg,0.991649,0.000212,0.000106,0.000092,0.000275,0.007644,0.000003,0.000019
img_00383.jpg,0.999771,0.000078,0.000001,0.000004,0.000010,0.000002,0.000013,0.000121
img_00398.jpg,0.740579,0.000194,0.001127,0.000097,0.146817,0.000564,0.002114,0.108508
img_00407.jpg,0.999910,0.000009,0.000002,0.000024,0.000013,0.000028,0.000000,0.000014
img_00417.jpg,0.000167,0.000014,0.000003,0.000000,0.000001,0.000001,0.000000,0.999814
img_00432.jpg,0.941386,0.002404,0.000051,0.000132,0.000068,0.050916,0.000015,0.005027
img_00442.jpg,0.000006,0.000006,0.000003,0.000000,0.000000,0.000000,0.000000,0.999984
img_00446.jpg,0.997206,0.000024,0.000071,0.001271,0.000043,0.001045,0.000002,0.000338
img_00469.jpg,0.996423,0.000133,0.000293,0.001216,0.000090,0.000760,0.000007,0.001078
img_00473.jpg,0.998870,0.000347,0.000038,0.000007,0.000531,0.000062,0.000090,0.000055
img_00483.jpg,0.999802,0.000006,0.000001,0.000001,0.000111,0.000002,0.000002,0.000076
img_00484.jpg,0.323908,0.101622,0.008729,0.000868,0.000235,0.000174,0.000125,0.564340
img_00486.jpg,0.741187,0.002145,0.223455,0.027124,0.000489,0.004861,0.000104,0.000636
img_00487.jpg,0.000002,0.000000,0.000000,0.000000,0.999996,0.000000,0.000000,0.000002
img_00493.jpg,0.039146,0.004725,0.000511,0.000297,0.926631,0.008393,0.000062,0.020235
img_00518.jpg,0.997670,0.000059,0.000188,0.000015,0.000833,0.000128,0.000189,0.000918
img_00533.jpg,0.327147,0.004157,0.000143,0.000037,0.000150,0.000032,0.000079,0.668256
img_00538.jpg,0.999143,0.000512,0.000004,0.000020,0.000265,0.000048,0.000000,0.000009
img_00543.jpg,0.999912,0.000005,0.000003,0.000008,0.000029,0.000005,0.000005,0.000033
img_00550.jpg,0.829754,0.016741,0.000793,0.001989,0.000157,0.125612,0.000157,0.024796
